codeuai;longitude;latitude;lycee;ville;ppi;annee_d_individualisation;titreoperation;enveloppe_prev_en_meur;montant_des_ap_votes_en_meur;mandataire;maitrise_d_oeuvre;notification_du_marche;entreprise;mode_de_devolution;nombre_de_lots;cao_attribution;etat_d_avancement;annee_de_livraison;pointgeo
0952173W;2.215409071000067;48.921607864000066;Eugène-Ronceray;Bezons;2012/2022;2014;Création d'un internat de 100 places;8.18;1.401;SAERP;Guillaume COLBOC (Ateliers O-S Architectes);;;;;;Etude de maîtrise d'œuvre;;48.921607864,2.215409071
0951922Y;2.336190882000039;48.97200861300007;Camille-Saint-Saëns;Deuil la Barre;2001/2006;1998;Extension;5.49;6.56;DDE 95;Atelier 2A Cambournac;1998-05-19;SNRB/Cettra/Nicolino/Electro montage;Lots séparés;11;2000-10-30;Opération livrée;2002;48.972008613,2.336190882
0950644J;2.294776;48.972559;Gustave-Monod;Enghien;2001/2006;1996;Travaux de sécurité, vidéosurveillance…;1.7;1.7;DDE 95;Atrium architecte / Studio 4 / Trouvin;2004-12-22;Axence / Cochery / Ineo Suez;Lots séparés;3;2007-05-10;Opération livrée;2009;48.972559,2.294776
0750783U;2.370114476000026;48.84731934800004;Chennevières-Malezieux;Paris 12ème;2001/2006;2007;Achèvement de la rénovation;24.7;28.52;Essonne aménagement;Emmanuelle Colboc;2010-03-26;DEMATHIEU ET BARD;Ent générale;;2013-11-10;Opération livrée;2017;48.847319348,2.370114476
0752799K;2.316469282000071;48.83569735900005;Croce-Spinelli;Paris 14ème;2001/2006;1998;Réfection complète des extérieurs;0.91;1.07;SAGI;Bocabeille / Prego / MTC;2003-08-13;Bâti rénov;Ent générale;;2006-05-22;Opération livrée;2007;48.835697359,2.316469282
0752799K;2.316469282000071;48.83569735900005;Croce-Spinelli;Paris 14ème;2001/2006;1999;Restructuration du service de restauration;0.91;1.39;SAGI;Bocabeille / Prego / MTC;2001-12-01;Nodal;Ent générale;;2003-09-29;Opération livrée;2004;48.835697359,2.316469282
0750793E;2.286858610000024;48.84827664000005;Beaugrenelle;Paris 15ème;2001/2006;2001;Restructuration du service de restauration;2.0;1.98;SEMEA XV;Jean-François Schmit / Ingenierie Studio;2004-01-08;Nodal et IAFL;Lots séparés;2;2006-04-21;Opération livrée;2006;48.84827664,2.28685861
0750700D;2.267364382000039;48.84724239800005;Jean-Baptiste-Say;Paris 16ème;2001/2006;2001;Rénovation de l'amphithéâtre;0.08;0.31;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;;48.847242398,2.267364382
0750704H;2.307832346000055;48.88448613500003;Carnot;Paris 17ème;2001/2006;2003;Restructuration partielle et extension des locaux sud-ouest;6.65;7.84;;Opération cofinancée - maîtrise d'ouvrage par le département de Paris;;;;;;Opération livrée;2011;48.884486135,2.307832346
0750705J;2.315270215000055;48.895238996000046;Honoré-de-Balzac;Paris 17ème;2012/2022;2013;Construction d'un internat de 160 places;13.7;2.41;Essonne aménagement;Jean-Patrice CALORI/BATISERF/ALTO/VPEAS;;;;;;Etude de maîtrise d'œuvre;;48.895238996,2.315270215
0750802P;2.372551129000044;48.89234944100008;Hector-Guimard;Paris 19ème;2001/2006;1999;Rénovation - restructuration d'ensemble et création de 20 places d'internat;31.7;36.576;SEMAVIP;Marc Farcy / Ingena;2004-01-03;Quillery;Ent générale;;2007-01-19;Opération livrée;2011;48.892349441,2.372551129
0750905B;2.448063;48.864533;Jean-Jaurès pour accueillir lycée du bâtiment;Paris 19ème;2001/2006;2009;Restructuration partielle;13.1;13.11;SEMAEST;Fabienne Bulle;2013-08-29;COLAS bâtiment lot principal;;;;En Chantier;;48.864533,2.448063
0770918E;2.736431449000065;48.40973630500008;Uruguay-France;Avon;2012/2022;2013;Rénovation globale (bât C, D, E, F);20.5;3.6;SAERP;françois LECLERCQ;2015-01-08;;;;;Etude de maîtrise d'œuvre;;48.409736305,2.736431449
0770922J;2.612726781000049;48.88331908100008;Gaston-Bachelard;Chelles;2012/2022;2014;Construction d'un internat de 150 places;11.31;11.54;SAERP;Pascale GUEDOT, architecte / BATISERF Ingénierie / Louis CHOULET/ Bureau Michel Forgue / Eléments Ingénierie;;;;;;Sélection entreprise;;48.883319081,2.612726781
